,precision,recall,f1-score,support
Background,0.9989131824574863,0.9191176470588235,0.9573555541939832,17000.0
Bebop M1,0.4645868465430017,0.3275862068965517,0.3842398884239888,1682.0
Bebop M2,0.2673179396092362,0.5472727272727272,0.35918854415274465,550.0
Bebop M3,0.02001906577693041,0.0670926517571885,0.030837004405286344,313.0
Bebop M4,0.4742489270386266,0.30398899587345257,0.3704945515507125,1454.0
AR M1,0.12312312312312312,0.3062558356676004,0.17563587684069612,1071.0
AR M2,0.05105105105105105,0.35051546391752575,0.0891218872870249,97.0
AR M3,0.04048582995951417,0.11857707509881422,0.060362173038229376,253.0
AR M4,0.09540636042402827,0.023067065356685176,0.03715170278637771,2341.0
Phant M1,0.7707267144319345,0.9555837563451777,0.853257790368272,788.0
accuracy,0.7099690790246194,0.7099690790246194,0.7099690790246194,0.7099690790246194
macro avg,0.3305879040414932,0.39190574252445465,0.3317644973047315,25549.0
weighted avg,0.7665093203049672,0.7099690790246194,0.7295237553414798,25549.0
