,precision,recall,f1-score,support
Background,0.9805218012866334,0.9682941176470589,0.9743695986740855,17000.0
Bebop M1,0.6830985915492958,0.6343638525564804,0.657829839704069,1682.0
Bebop M2,0.7678571428571429,0.9381818181818182,0.8445171849427169,550.0
Bebop M3,0.10486577181208054,0.7987220447284346,0.1853911753800519,313.0
Bebop M4,0.5041716328963052,0.2909215955983494,0.3689489751417357,1454.0
AR M1,0.13101604278074866,0.0457516339869281,0.06782006920415225,1071.0
AR M2,0.04884856943475227,0.7216494845360825,0.0915032679738562,97.0
AR M3,0.2922465208747515,0.5810276679841897,0.3888888888888889,253.0
AR M4,0.5458937198067633,0.04826997009824861,0.08869701726844584,2341.0
Phant M1,1.0,0.998730964467005,0.9993650793650793,788.0
accuracy,0.7782300677130221,0.7782300677130221,0.7782300677130221,0.7782300677130221
macro avg,0.5058519793298474,0.6025913149784594,0.4667331096543082,25549.0
weighted avg,0.8333392494086195,0.7782300677130221,0.7790816105239088,25549.0
